package_id,package_title,package_kind,package_folder,relative_path,sheet_or_table,variable_name,variable_label,inferred_type,non_null_sample_count,sample_values,min_value,max_value,source_file_format,confidence,notes
paper-2015-10,Street Network Structure And Activity Spaces,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-10-street-network-structure-and-activity-spaces,data/network_measure_workbook/NetwMeasures.xls,Sheet1,column_1,,text,11,Network measures | Relative discontinuity | Proportion of limited access roads | Proportion of freeways | Treeness,,,xls,medium,Some headers were missing; generated column_N names. Sampled first 12 non-empty rows from worksheet.
paper-2015-10,Street Network Structure And Activity Spaces,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-10-street-network-structure-and-activity-spaces,data/network_measure_workbook/NetwMeasures.xls,Sheet1,column_2,,text,11,Category | Hierarchy | Topology | Morphology | Scale,,,xls,medium,Some headers were missing; generated column_N names. Sampled first 12 non-empty rows from worksheet.
paper-2015-10,Street Network Structure And Activity Spaces,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-10-street-network-structure-and-activity-spaces,data/network_measure_workbook/NetwMeasures.xls,Sheet1,Level,,text,9,Trip | X,,,xls,medium,Some headers were missing; generated column_N names. Sampled first 12 non-empty rows from worksheet.
paper-2015-10,Street Network Structure And Activity Spaces,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-10-street-network-structure-and-activity-spaces,data/network_measure_workbook/NetwMeasures.xls,Sheet1,column_4,,text,7,Household | X,,,xls,medium,Some headers were missing; generated column_N names. Sampled first 12 non-empty rows from worksheet.
paper-2015-10,Street Network Structure And Activity Spaces,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-10-street-network-structure-and-activity-spaces,data/network_measure_workbook/NetwMeasures.xls,Sheet1,column_5,,text,6,Metropolitan area | X,,,xls,medium,Some headers were missing; generated column_N names. Sampled first 12 non-empty rows from worksheet.
paper-2015-10,Street Network Structure And Activity Spaces,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-10-street-network-structure-and-activity-spaces,data/network_measure_workbook/NetwMeasures.xls,ActSpace,Hierarchy,,text,1,Proportion of limited access roads,,,xls,medium,Headers inferred from first row. Sampled first 3 non-empty rows from worksheet.
paper-2015-10,Street Network Structure And Activity Spaces,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-10-street-network-structure-and-activity-spaces,data/network_measure_workbook/NetwMeasures.xls,ActSpace,Topology,,text,2,Arterial treeness | Percentage of nodal degrees,,,xls,medium,Headers inferred from first row. Sampled first 3 non-empty rows from worksheet.
paper-2015-10,Street Network Structure And Activity Spaces,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-10-street-network-structure-and-activity-spaces,data/network_measure_workbook/NetwMeasures.xls,ActSpace,Morphology,,text,1,Shapefactor,,,xls,medium,Headers inferred from first row. Sampled first 3 non-empty rows from worksheet.
paper-2015-10,Street Network Structure And Activity Spaces,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-10-street-network-structure-and-activity-spaces,data/network_measure_workbook/NetwMeasures.xls,ActSpace,Scale,,text,2,Street density | Intersection density,,,xls,medium,Headers inferred from first row. Sampled first 3 non-empty rows from worksheet.
paper-2015-10,Street Network Structure And Activity Spaces,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-10-street-network-structure-and-activity-spaces,data/network_measure_workbook/NetwMeasures.xls,MetroMobility,Hierarchy,,text,1,Proportion of limted access roads (i.e.freeways),,,xls,medium,Headers inferred from first row. Sampled first 4 non-empty rows from worksheet.
paper-2015-10,Street Network Structure And Activity Spaces,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-10-street-network-structure-and-activity-spaces,data/network_measure_workbook/NetwMeasures.xls,MetroMobility,Topology,,text,3,Treeness | Completeness | Average circuity,,,xls,medium,Headers inferred from first row. Sampled first 4 non-empty rows from worksheet.
paper-2015-10,Street Network Structure And Activity Spaces,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-10-street-network-structure-and-activity-spaces,data/network_measure_workbook/NetwMeasures.xls,MetroMobility,Scale,,text,1,Street density,,,xls,medium,Headers inferred from first row. Sampled first 4 non-empty rows from worksheet.
paper-2015-10,Street Network Structure And Activity Spaces,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-10-street-network-structure-and-activity-spaces,data/network_measure_workbook/NetwMeasures.xlsx,Sheet1,column_1,,text,11,Network measures | Relative discontinuity | Proportion of limited access roads | Proportion of freeways | Treeness,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 12 non-empty rows from worksheet.
paper-2015-10,Street Network Structure And Activity Spaces,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-10-street-network-structure-and-activity-spaces,data/network_measure_workbook/NetwMeasures.xlsx,Sheet1,column_2,,text,11,Category | Hierarchy | Topology | Morphology | Scale,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 12 non-empty rows from worksheet.
paper-2015-10,Street Network Structure And Activity Spaces,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-10-street-network-structure-and-activity-spaces,data/network_measure_workbook/NetwMeasures.xlsx,Sheet1,Level,,text,9,Trip | X,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 12 non-empty rows from worksheet.
paper-2015-10,Street Network Structure And Activity Spaces,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-10-street-network-structure-and-activity-spaces,data/network_measure_workbook/NetwMeasures.xlsx,Sheet1,column_4,,text,7,Household | X,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 12 non-empty rows from worksheet.
paper-2015-10,Street Network Structure And Activity Spaces,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-10-street-network-structure-and-activity-spaces,data/network_measure_workbook/NetwMeasures.xlsx,Sheet1,column_5,,text,6,Metropolitan area | X,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 12 non-empty rows from worksheet.
paper-2015-10,Street Network Structure And Activity Spaces,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-10-street-network-structure-and-activity-spaces,data/network_measure_workbook/NetwMeasures.xlsx,Sheet1,column_6,,empty,0,,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 12 non-empty rows from worksheet.
paper-2015-10,Street Network Structure And Activity Spaces,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-10-street-network-structure-and-activity-spaces,data/network_measure_workbook/NetwMeasures.xlsx,ActSpace,Hierarchy,,text,1,Proportion of limited access roads,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 3 non-empty rows from worksheet.
paper-2015-10,Street Network Structure And Activity Spaces,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-10-street-network-structure-and-activity-spaces,data/network_measure_workbook/NetwMeasures.xlsx,ActSpace,Topology,,text,2,Arterial treeness | Percentage of nodal degrees,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 3 non-empty rows from worksheet.
paper-2015-10,Street Network Structure And Activity Spaces,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-10-street-network-structure-and-activity-spaces,data/network_measure_workbook/NetwMeasures.xlsx,ActSpace,Morphology,,text,1,Shapefactor,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 3 non-empty rows from worksheet.
paper-2015-10,Street Network Structure And Activity Spaces,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-10-street-network-structure-and-activity-spaces,data/network_measure_workbook/NetwMeasures.xlsx,ActSpace,Scale,,text,2,Street density | Intersection density,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 3 non-empty rows from worksheet.
paper-2015-10,Street Network Structure And Activity Spaces,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-10-street-network-structure-and-activity-spaces,data/network_measure_workbook/NetwMeasures.xlsx,ActSpace,column_5,,empty,0,,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 3 non-empty rows from worksheet.
paper-2015-10,Street Network Structure And Activity Spaces,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-10-street-network-structure-and-activity-spaces,data/network_measure_workbook/NetwMeasures.xlsx,MetroMobility,Hierarchy,,text,1,Proportion of limted access roads (i.e.freeways),,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 4 non-empty rows from worksheet.
paper-2015-10,Street Network Structure And Activity Spaces,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-10-street-network-structure-and-activity-spaces,data/network_measure_workbook/NetwMeasures.xlsx,MetroMobility,Topology,,text,3,Treeness | Completeness | Average circuity,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 4 non-empty rows from worksheet.
